Video analysis detailed log																																								
Face Model:	General61																																							
Calibration:	None																																							
Start time:	0																																							
Filename:	\Donald_Trump.mp4																																							
Frame rate:	29.97002997																																							
Video Time	Neutral	Happy	Sad	Angry	Surprised	Scared	Disgusted	Contempt	Valence	Arousal	Y - Head Orientation	X - Head Orientation	Z - Head Orientation	Mouth	Left Eye	Right Eye	Left Eyebrow	Right Eyebrow	Action Unit 01 - Inner Brow Raiser	Action Unit 02 - Outer Brow Raiser	Action Unit 04 - Brow Lowerer	Action Unit 05 - Upper Lid Raiser	Action Unit 06 - Cheek Raiser	Action Unit 07 - Lid Tightener	Action Unit 09 - Nose Wrinkler	Action Unit 10 - Upper Lip Raiser	Action Unit 12 - Lip Corner Puller	Action Unit 14 - Dimpler	Action Unit 15 - Lip Corner Depressor	Action Unit 17 - Chin Raiser	Action Unit 18 - Lip Puckerer	Action Unit 20 - Lip Stretcher	Action Unit 23 - Lip Tightener	Action Unit 24 - Lip Pressor	Action Unit 25 - Lips Part	Action Unit 26 - Jaw Drop	Action Unit 27 - Mouth Stretch	Action Unit 43 - Eyes Closed	Stimulus	Event Marker
00:01.1	0.3302446	0.000664178	0.196877	0.01921745	0.000675586	0.02699961	0.06112828	0.08067469	-0.1962129	0.9180133	30.83719	1.891777	-7.724162	Closed	Closed	Open	Lowered	Lowered	NotActive	NotActive	NotActive	NotActive	NotActive	D	NotActive	B	NotActive	C	B	NotActive	NotActive	D	A	NotActive	NotActive	NotActive	NotActive	NotActive	No Stimulus	No Event Marker
00:01.1	0.3314745	0.000645716	0.1996894	0.01895037	0.000682062	0.02714272	0.06066245	0.07888272	-0.1990437	0.9162232	31.52828	1.796384	-7.679643	Closed	Closed	Open	Lowered	Lowered	NotActive	NotActive	NotActive	NotActive	NotActive	D	NotActive	B	NotActive	C	B	NotActive	NotActive	D	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	No Stimulus	No Event Marker
00:01.2	0.3388448	0.000640641	0.1941978	0.01878572	0.000694548	0.02678481	0.05877173	0.07806922	-0.1935572	0.9145243	31.62765	1.788429	-7.64838	Closed	Closed	Open	Lowered	Lowered	NotActive	NotActive	NotActive	NotActive	NotActive	D	NotActive	B	NotActive	C	B	NotActive	NotActive	D	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	No Stimulus	No Event Marker
00:01.2	0.3414495	0.000622578	0.2278912	0.01817158	0.000732609	0.02740431	0.05740191	0.0757155	-0.2272686	0.9127146	31.1382	1.139547	-8.040657	Closed	Closed	Open	Lowered	Lowered	NotActive	NotActive	NotActive	NotActive	NotActive	D	NotActive	B	NotActive	C	B	NotActive	NotActive	D	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	No Stimulus	No Event Marker
00:01.2	0.3607293	0.000615225	0.2266041	0.01760044	0.000735276	0.02779567	0.0549573	0.07780911	-0.2259888	0.9109107	31.01069	1.709331	-7.646533	Closed	Closed	Open	Lowered	Lowered	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	B	NotActive	C	B	NotActive	NotActive	D	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	No Stimulus	No Event Marker
00:01.3	0.387071	0.000615918	0.2185861	0.0169732	0.000755122	0.02764388	0.05235678	0.08460536	-0.2179702	0.9091567	31.43843	1.490895	-7.667706	Closed	Closed	Open	Lowered	Lowered	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	B	NotActive	C	B	NotActive	NotActive	D	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	No Stimulus	No Event Marker
00:01.3	0.4019217	0.000619243	0.2144459	0.01644435	0.000763645	0.02745683	0.0507221	0.0876656	-0.2138267	0.9074994	30.84706	1.05887	-7.73945	Closed	Closed	Open	Lowered	Lowered	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	B	NotActive	C	B	NotActive	NotActive	D	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	No Stimulus	No Event Marker
00:01.3	0.410533	0.0006228	0.2091484	0.01608394	0.00075879	0.02723728	0.05010705	0.08693189	-0.2085256	0.905897	30.49623	0.9879134	-7.540928	Closed	Closed	Open	Lowered	Lowered	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	B	NotActive	C	B	NotActive	NotActive	D	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	No Stimulus	No Event Marker
00:01.4	0.4245015	0.000633969	0.1997876	0.01570594	0.00077344	0.02657245	0.04872429	0.08720989	-0.1991536	0.9043419	31.27405	1.062638	-7.454456	Closed	Closed	Open	Lowered	Lowered	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	B	NotActive	C	B	NotActive	NotActive	D	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	No Stimulus	No Event Marker
00:01.4	0.4274135	0.000639773	0.1946907	0.01546769	0.000775406	0.02623208	0.04789157	0.08713089	-0.194051	0.9029	32.54926	1.692081	-7.24703	Closed	Closed	Open	Lowered	Lowered	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	B	NotActive	C	B	NotActive	NotActive	D	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	No Stimulus	No Event Marker
00:01.4	0.4354938	0.000647977	0.1944081	0.01493772	0.000790082	0.02556537	0.04694698	0.08141966	-0.1937601	0.9015542	32.52262	1.69012	-7.218979	Closed	Closed	Open	Lowered	Lowered	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	B	NotActive	C	B	NotActive	NotActive	D	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	No Stimulus	No Event Marker
00:01.5	0.438461	0.000657952	0.1872601	0.01490451	0.000798199	0.02499172	0.0461477	0.07710978	-0.1866022	0.900293	33.62575	2.939047	-6.956065	Closed	Closed	Open	Lowered	Lowered	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	B	NotActive	C	C	NotActive	NotActive	D	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	No Stimulus	No Event Marker
00:01.5	0.4340343	0.000654862	0.1853269	0.01516198	0.000798753	0.02467878	0.04577463	0.07210943	-0.184672	0.8991157	34.293	3.297123	-6.798806	Closed	Closed	Open	Lowered	Lowered	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	B	NotActive	C	C	NotActive	NotActive	D	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	No Stimulus	No Event Marker
00:01.5	0.4325798	0.000651929	0.1834979	0.01516784	0.000804104	0.02421387	0.04543435	0.06670278	-0.182846	0.8979947	34.51384	3.034235	-6.859035	Closed	Closed	Open	Lowered	Lowered	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	B	NotActive	C	C	NotActive	NotActive	D	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	No Stimulus	No Event Marker
00:01.6	0.4284974	0.000650215	0.1774928	0.01560454	0.000794745	0.02368949	0.04462241	0.06186402	-0.1768426	0.8969803	35.25056	3.077682	-6.67435	Closed	Closed	Open	Lowered	Lowered	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	B	NotActive	C	C	NotActive	NotActive	D	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	No Stimulus	No Event Marker
